NAME: ber-53-1.txt
LOCATION: Berlin
COMMENT:  Sartori and Buriol (2019)
SIZE: 53
DEPOTS: 4
ROUTE-TIME: 240
TIME-WINDOW: 120
VEHICLES
<type>       <cw>        <mp>       
Light duty   3500        4000       
Medium duty  5500        12500      
Heavy duty   14000       26000      
NODES
<id>  <lt>         <lg>         <dem>    <lTW>    <uTW>    <dur>    <p>      <d>     
1     52.56959730  13.49338000  910      134      254      5        0        19      
2     52.44707230  13.29926760  2561     170      290      10       0        20 37   
3     52.54869330  13.34286220  2509     278      398      10       0        21 41   
4     52.46101290  13.28030080  2600     26       146      15       0        22 50 52 
5     52.44415920  13.31274530  2574     376      480      10       0        23 44   
6     52.54724030  13.36954610  3484     126      246      15       0        24 46 47 
7     52.44663620  13.29883550  3263     0        480      10       0        25 43   
8     52.55156340  13.36907290  1417     288      408      10       0        26 53   
9     52.44524120  13.30807270  5382     21       141      20       0        27 38 40 51 
10    52.44612520  13.30369210  1976     351      471      5        0        28      
11    52.45058330  13.30898500  2496     358      478      10       0        29 49   
12    52.44089790  13.27557840  2210     0        480      10       0        30 48   
13    52.48209040  13.29704340  1105     0        87       5        0        31      
14    52.56288980  13.48162770  3939     95       215      10       0        32 39   
15    52.44137260  13.29541840  3172     228      348      10       0        33 42   
16    52.56356970  13.48794320  2132     141      261      5        0        34      
17    52.55005300  13.35208630  3731     5        125      10       0        35 45   
18    52.54855790  13.36368060  1664     140      260      5        0        36      
19    52.56659530  13.51542360  -910     143      263      5        1        0       
20    52.44379430  13.30260650  -1651    178      298      5        2        0       
21    52.56317020  13.36316120  -1027    290      410      5        3        0       
22    52.44451020  13.31731510  -1209    40       160      5        4        0       
23    52.44545780  13.29768250  -1703    386      469      5        5        0       
24    52.57907150  13.37426800  -689     139      259      5        6        0       
25    52.44298860  13.31632290  -2249    0        480      5        7        0       
26    52.53055750  13.36229720  -221     300      420      5        8        0       
27    52.45000660  13.30288850  -858     28       148      5        9        0       
28    52.44624420  13.28302160  -1976    360      471      5        10       0       
29    52.45451500  13.27589960  -715     371      470      5        11       0       
30    52.44707400  13.30061350  -1781    0        480      5        12       0       
31    52.55874930  13.48488220  -1105    37       157      5        13       0       
32    52.55536790  13.50034350  -2132    106      226      5        14       0       
33    52.45948280  13.32535120  -1625    240      360      5        15       0       
34    52.57137380  13.50197100  -2132    152      272      5        16       0       
35    52.54689450  13.30917020  -2015    17       137      5        17       0       
36    52.55461000  13.34414200  -1664    150      270      5        18       0       
37    52.44402510  13.29678260  -910     321      441      5        2        0       
38    52.43842780  13.27290860  -2067    152      272      5        9        0       
39    52.54366410  13.34984780  -1807    311      431      5        14       0       
40    52.55284150  13.37151680  -182     137      257      5        9        0       
41    52.54897040  13.35096250  -1482    0        480      5        3        0       
42    52.57488280  13.48258900  -1547    332      437      5        15       0       
43    52.43870040  13.30493360  -1014    0        480      5        7        0       
44    52.57207640  13.49293570  -871     0        480      5        5        0       
45    52.44597970  13.30101500  -1716    346      466      5        17       0       
46    52.44744590  13.31855490  -468     0        480      5        6        0       
47    52.53944740  13.34828330  -2327    57       177      5        6        0       
48    52.44609140  13.30714220  -429     326      446      5        12       0       
49    52.55861920  13.49153950  -1781    150      270      5        11       0       
50    52.44880070  13.29616150  -1027    382      469      5        4        0       
51    52.43375310  13.27346970  -2275    276      396      5        9        0       
52    52.43605190  13.28976720  -364     57       177      5        4        0       
53    52.56420820  13.48454470  -1196    110      230      5        8        0       
DEPOTS
<id>  <lt>         <lg>         <lTW>    <uTW>   
54    52.42342570  13.24026710  0        240     
55    52.57249920  13.49379650  0        240     
56    52.57593720  13.50674690  0        240     
57    52.56260030  13.49619530  0        240     
